"id","user_id","sofifa_id","player_position","user_rating"
1,201,240511,CAM,2
2,58,252141,CAM,4
3,48,225139,CAM,4
4,170,176794,CAM,4
5,47,184089,CAM,3
6,100,229435,CAM,3
7,82,237766,CAM,1
8,230,228809,CAM,5
9,13,230467,CAM,4
10,177,252141,CAM,2
11,238,251799,CAM,5
12,28,208885,CAM,3
13,55,191673,CAM,5
14,175,202663,CAM,2
15,166,185260,CAM,1
16,152,237780,CAM,5
17,7,214092,CAM,4
18,88,188103,CAM,2
19,288,220187,CAM,5
20,122,221346,CAM,3
21,82,169317,CAM,3
22,209,221671,CAM,2
23,136,204396,CAM,4
24,91,240117,CAM,2
25,5,230275,CAM,2
26,16,240993,CAM,2
27,199,239444,CAM,2
28,189,241071,CAM,1
29,273,227602,CAM,1
30,220,246928,CAM,2
31,217,176545,CAM,1
32,206,247071,CAM,3
33,210,211267,CAM,2
34,100,203309,CAM,1
35,271,244236,CAM,4
36,63,184334,CAM,3
37,197,224418,CAM,4
38,224,167669,CAM,2
39,287,213439,CAM,2
40,60,230475,CAM,2
41,9,223004,CAM,5
42,63,225955,CAM,3
43,61,212037,CAM,1
44,158,177138,CAM,5
45,234,248060,CAM,3
46,175,212446,CAM,1
47,78,219700,CAM,1
48,208,197770,CAM,4
49,274,164477,CAM,1
50,124,225864,CAM,5
51,233,203746,CAM,2
52,207,218747,CAM,1
53,175,251990,CAM,2
54,145,252203,CAM,4
55,11,243915,CAM,1
56,30,202035,CAM,2
57,237,211243,CAM,5
58,151,231150,CAM,4
59,192,205631,CAM,5
60,239,225105,CAM,3
61,256,233600,CAM,1
62,42,203483,CAM,4
63,38,230484,CAM,1
64,264,199977,CAM,1
65,140,252296,CAM,2
66,160,219259,CAM,4
67,225,246546,CAM,2
68,78,242673,CAM,5
69,80,183648,CAM,3
70,243,231236,CAM,2
71,129,223268,CAM,3
72,78,234688,CAM,5
73,129,239215,CAM,2
74,161,241963,CAM,4
75,150,211267,CAM,5
76,199,192492,CAM,4
77,23,204396,CAM,5
78,282,250958,CAM,1
79,172,197952,CAM,1
80,292,229285,CAM,4
81,204,220579,CAM,3
82,299,241938,CAM,2
83,172,243686,CAM,1
84,60,233610,CAM,1
85,16,237809,CAM,1
86,150,220938,CAM,2
87,223,239073,CAM,5
88,218,214609,CAM,5
89,110,193206,CAM,3
90,183,235929,CAM,3
91,198,224956,CAM,5
92,216,251997,CAM,1
93,140,243915,CAM,3
94,61,197781,CAM,4
95,130,208224,CAM,3
96,2,191783,CAM,3
97,115,220605,CAM,4
98,245,233655,CAM,2
99,53,192492,CAM,1
100,244,252139,CAM,4
101,111,234062,CAM,5
102,204,236010,CAM,3
103,49,250759,CAM,2
104,210,199413,CAM,1
105,294,192074,CAM,4
106,80,243800,CAM,3
107,70,242342,CAM,3
108,241,230272,CAM,4
109,58,224368,CAM,4
110,28,210021,CAM,4
111,29,201484,CAM,1
112,37,209529,CAM,4
113,257,243841,CAM,5
114,208,193738,CAM,5
115,34,246855,CAM,3
116,131,252038,CAM,1
117,261,221634,CAM,2
118,248,238126,CAM,4
119,51,205998,CAM,2
120,50,247416,CAM,2
121,36,231969,CAM,5
122,146,251082,CAM,3
123,272,244286,CAM,1
124,144,204684,CAM,3
125,72,193092,CAM,4
126,234,224146,CAM,2
127,114,221367,CAM,5
128,212,176062,CAM,3
129,296,247054,CAM,1
130,27,213884,CAM,4
131,88,214238,CAM,4
132,182,199277,CAM,5
133,6,223874,CAM,3
134,166,226226,CAM,3
135,238,208589,CAM,1
136,101,208056,CAM,4
137,158,220913,CAM,1
138,3,236015,CAM,4
139,243,210313,CAM,5
140,164,225699,CAM,5
141,118,248574,CAM,3
142,27,236492,CAM,3
143,224,208781,CAM,3
144,179,235947,CAM,2
145,21,237766,CAM,5
146,177,222185,CAM,2
147,12,177537,CAM,3
148,245,251634,CAM,4
149,91,203853,CAM,4
150,291,212194,CAM,1
151,65,234728,CAM,4
152,13,244664,CAM,2
153,112,250759,CAM,1
154,264,213566,CAM,2
155,249,215330,CAM,1
156,182,246297,CAM,4
157,173,208144,CAM,5
158,239,236632,CAM,2
159,40,206651,CAM,1
160,277,228819,CAM,1
161,124,250962,CAM,3
162,224,203603,CAM,4
163,225,229176,CAM,2
164,233,207494,CAM,4
165,169,217852,CAM,1
166,17,168879,CAM,5
167,293,207984,CAM,2
168,22,232057,CAM,5
169,44,227228,CAM,3
170,15,201887,CAM,4
171,195,203603,CAM,1
172,163,212791,CAM,2
173,77,235893,CAM,2
174,146,228908,CAM,5
175,51,246275,CAM,4
176,163,176608,CAM,4
177,212,234014,CAM,1
178,240,183544,CAM,1
179,146,212476,CAM,3
